Country Code,Year,GDP,YoY Growth %
ESP,2006,1260398977831.76,9.246917916317043
ESP,2007,1474002579820.0,16.94730047748041
ESP,2008,1631863493552.34,10.709676895654919
ESP,2009,1491472923706.64,-8.603082941704232
ESP,2010,1422108199783.34,-4.650753146152542
ESP,2011,1480710495710.12,4.120804305587167
ESP,2012,1324750738725.0,-10.532765009565548
ESP,2013,1355579535912.55,2.3271394600029582
ESP,2014,1371820537888.62,1.1980855085081288
ESP,2015,1196156971279.69,-12.805141908670892
ESP,2016,1233554967011.68,3.126512375042245
ESP,2017,1313245330197.65,6.4602198780830955
ESP,2018,1421702715218.04,8.258729920940722
ESP,2019,1394320055129.41,-1.9260468307138678
ESP,2020,1278128867875.49,-8.33317908800616
ESP,2021,1445651653604.63,13.106877556689312
ESP,2022,1417800466262.65,-1.9265489907292044
EST,1960,,
EST,1961,,
EST,1962,,
EST,1963,,
EST,1964,,
EST,1965,,
EST,1966,,
EST,1967,,
EST,1968,,
EST,1969,,
EST,1970,,
EST,1971,,
EST,1972,,
EST,1973,,
EST,1974,,
EST,1975,,
EST,1976,,
EST,1977,,
EST,1978,,
EST,1979,,
EST,1980,,
EST,1981,,
EST,1982,,
EST,1983,,
EST,1984,,
EST,1985,,
EST,1986,,
EST,1987,,
EST,1988,,
EST,1989,,
EST,1990,,
EST,1991,,
EST,1992,,
EST,1993,,
EST,1994,,
EST,1995,4502970889.06373,
EST,1996,4786018988.16491,6.28580788271611
EST,1997,5154420649.23354,7.697455066092096
EST,1998,5674080542.88575,10.081829346417104
EST,1999,5756912265.75809,1.4598263497721309
EST,2000,5686579747.53524,-1.2217055771578278
EST,2001,6254649538.98487,9.98965664195337
EST,2002,7367975887.72723,17.799979707944647
EST,2003,9874013098.46432,34.01255987972724
EST,2004,12145911801.2422,23.0088686344889
EST,2005,14106790200.2239,16.144349070451458
EST,2006,17022870405.2189,20.671465043470462
EST,2007,22449129482.617,31.87628730190244
EST,2008,24341678628.9732,8.43038990808822
